feature,importance_mean,importance_std
tenure,0.12671757296231276,0.010642207544897034
Contract,0.07354016849098291,0.006257530946994083
InternetService,0.019876730412775934,0.010280778642883934
TotalCharges,0.018473985483189313,0.00436765548753184
OnlineSecurity,0.016755461879828303,0.004771285301490922
MonthlyCharges,0.01627981443599228,0.009681756192488695
TechSupport,0.014173063573257006,0.003426373363444642
PaperlessBilling,0.005716326129847638,0.006396956451050649
PaymentMethod,0.005577188837180202,0.005680542188113984
MultipleLines,0.0038168390560869847,0.006209388098589676
OnlineBackup,0.0016997018616354941,0.0022094815060337554
PhoneService,0.0012127590609397499,0.0003338870044272975
SeniorCitizen,0.0009269286578230563,0.0019189350285136444
Dependents,0.0008815530133000182,0.0013124999474919971
gender,0.00033952951783937645,0.0003236179449590045
Partner,0.0001914991086907958,0.00013530801975950428
DeviceProtection,0.00016335996982439483,0.00038057498865076
StreamingMovies,-2.7659262354040592e-05,0.0015904372259219724
StreamingTV,-0.0013566138773210667,0.0016476051240026845
